,price,bedrooms,bathrooms,has_garage,has_parking,sqft,city,state,latitude,longitude,price/sqft
144,729000.0,2.0,2.0,0,0,850.0,Burnaby,BC,49.2157,-122.979774,857.6470588235294
145,705000.0,2.0,2.0,0,0,868.0,Coquitlam,BC,49.280174,-122.78574,812.2119815668203
146,1299000.0,4.0,2.0,0,0,2604.0,North Vancouver,BC,49.33244,-123.06665,498.8479262672811
147,778000.0,3.0,3.0,0,0,1451.0,Surrey,BC,49.170544,-122.88354,536.1819434872501
148,1648000.0,4.0,4.0,0,0,1890.0,Burnaby,BC,49.25978,-123.020035,871.957671957672
149,779900.0,3.0,3.0,0,0,1771.0,Surrey,BC,49.164513,-122.79167,440.3726708074534
150,1850000.0,7.0,4.0,0,0,3723.0,Surrey,BC,49.17854,-122.807915,496.91109320440506
151,649900.0,1.0,1.0,0,0,595.0,Vancouver,BC,49.263542,-123.07279,1092.2689075630253
152,599000.0,1.0,1.0,0,0,684.0,Pt Moody,BC,49.275703,-122.84981,875.7309941520468
154,2188000.0,4.0,5.0,0,0,3590.0,Burnaby,BC,49.26886,-122.97601,609.4707520891365
155,579990.0,1.0,1.0,0,0,556.0,Burnaby,BC,49.21888,-122.94969,1043.1474820143885
156,699000.0,3.0,3.0,0,0,1226.0,Coquitlam,BC,49.28282,-122.78989,570.1468189233279
157,629900.0,2.0,2.0,0,0,1039.0,Pt Coquitlam,BC,49.253216,-122.79106,606.2560153994225
158,588000.0,1.0,1.0,0,0,519.0,Burnaby,BC,49.225803,-123.00558,1132.9479768786127
160,1678000.0,3.0,2.0,0,0,1480.0,Vancouver,BC,49.245163,-123.08823,1133.7837837837837
161,824800.0,2.0,2.0,0,0,1062.0,Vancouver,BC,49.205833,-123.03783,776.647834274953
163,2250000.0,7.0,4.0,0,0,2620.0,Vancouver,BC,49.27656,-123.03671,858.7786259541984
